geoid,name,B19013001,"B19013001, Error"
86000US33042,"33042",86739,9249
86000US33043,"33043",58571,17077
86000US33050,"33050",57537,6321
86000US33051,"33051",100192,30852
86000US33054,"33054",26919,3112
86000US33055,"33055",45306,2471
86000US33056,"33056",41769,3229
86000US33060,"33060",44647,2956
86000US33062,"33062",64812,4244
86000US33063,"33063",46450,2269
86000US33064,"33064",53238,2170
86000US33065,"33065",55686,3169
86000US33066,"33066",50674,4051
86000US33067,"33067",103337,9234
86000US33068,"33068",45613,2993
86000US33069,"33069",49732,3688
86000US33070,"33070",73676,12817
86000US33071,"33071",91999,4758
86000US33073,"33073",77158,3439
86000US33076,"33076",136343,8587
86000US33101,"33101",,
86000US33109,"33109",200577,163248
86000US33122,"33122",52321,50091
86000US33125,"33125",27544,2122
86000US33126,"33126",37241,2818
86000US33127,"33127",30633,1354
86000US33128,"33128",19482,2782
86000US33129,"33129",78105,10170
86000US33130,"33130",34937,4906
86000US33131,"33131",101248,3174
86000US33132,"33132",80577,7335
86000US33133,"33133",66683,4814
86000US33134,"33134",68868,4430
86000US33135,"33135",27857,1953
86000US33136,"33136",26336,2553
86000US33137,"33137",63650,3433
86000US33138,"33138",51262,4301
86000US33139,"33139",53327,3766
86000US33140,"33140",76960,7685
86000US33141,"33141",49861,3320
86000US33142,"33142",26424,1753
86000US33143,"33143",67042,5856
86000US33144,"33144",48632,4245
86000US33145,"33145",54288,5900
86000US33146,"33146",117500,25966
86000US33147,"33147",32808,2692
86000US33149,"33149",151190,19494
86000US33150,"33150",29782,3251
86000US33154,"33154",76690,6732
86000US33155,"33155",68699,6463
86000US33156,"33156",117491,12921
86000US33157,"33157",65099,3557
86000US33158,"33158",170673,19593
86000US33160,"33160",51790,2594
86000US33161,"33161",40093,2924
86000US33162,"33162",45080,2580
86000US33165,"33165",53998,3854
86000US33166,"33166",54362,4241
86000US33167,"33167",37474,5960
86000US33168,"33168",48894,2577
86000US33169,"33169",45711,2656
86000US33170,"33170",45929,8196
86000US33172,"33172",50139,2912
86000US33173,"33173",68382,6071
86000US33174,"33174",51442,4611
86000US33175,"33175",58945,3783
86000US33176,"33176",72998,4724
86000US33177,"33177",61033,3245
86000US33178,"33178",79707,4629
86000US33179,"33179",49016,2519
86000US33180,"33180",74091,6511
86000US33181,"33181",46139,4315
86000US33182,"33182",80213,9606
86000US33183,"33183",59797,3945
86000US33184,"33184",53480,8873
86000US33185,"33185",89327,3889
86000US33186,"33186",70529,2800
86000US33187,"33187",80629,8674
86000US33189,"33189",58190,4412
86000US33190,"33190",64332,6691
86000US33193,"33193",63337,3351
86000US33194,"33194",118125,6056
86000US33196,"33196",76787,3934
86000US33301,"33301",99382,8208
86000US33304,"33304",58290,4855
86000US33305,"33305",74095,6052
86000US33306,"33306",71357,23008
86000US33308,"33308",64792,3876
86000US33309,"33309",55134,3878
86000US33311,"33311",36649,1687
86000US33312,"33312",58144,4173
86000US33313,"33313",38201,2515
86000US33314,"33314",51635,4022
86000US33315,"33315",76507,3944
86000US33316,"33316",67477,8009
86000US33317,"33317",67878,5330
86000US33319,"33319",44993,2758
