,Zip_Code,Date_Code,Testing_Total_Sales,Testing_FHA_Count,Testing_Sale_Price,Total_Sales_Prediction,FHA_Count_Prediction,Sale_Price_Prediction,Total_ Sales_RMSLE,FHA_Count_RMSLE,Sale_Price_RMSLE
657,32621,202101.0,6.0,2.0,78500.0,8.307431057919985,0.1352002973463584,42294.23941118643,0.5575326971787715,0.5719993052257427,0.438409910786184
658,32621,202102.0,9.0,2.0,120000.0,5.8752162236726235,1.676524525109187,105094.63070174865,0.5575326971787715,0.5719993052257427,0.438409910786184
659,32621,202103.0,2.0,2.0,123000.0,5.971376022854429,1.5683685697008798,80801.49914485589,0.5575326971787715,0.5719993052257427,0.438409910786184
660,32621,202104.0,0.0,0.0,0.0,6.081386447234536,1.3519716254533876,84296.85533027723,,,
661,32626,202101.0,7.0,0.0,125000.0,11.562630051781525,1.7533070133319768,104590.78484453633,0.40512024369481225,0.7530606267260783,0.310649431344777
662,32626,202102.0,13.0,1.0,134900.0,8.836391751544397,1.7799589205003201,90287.10968273878,0.40512024369481225,0.7530606267260783,0.310649431344777
663,32626,202104.0,0.0,0.0,0.0,8.597057779265924,1.4267562578961588,97064.85999358445,,,
664,32640,202101.0,11.0,2.0,113500.0,18.106260298815414,1.4952109169660162,119425.05244068545,0.40962378366829333,0.4099065694529591,0.38774575710947184
665,32640,202102.0,10.0,2.0,200000.0,17.482409108562933,1.7020144205548604,114574.52229164424,0.40962378366829333,0.4099065694529591,0.38774575710947184
666,32640,202103.0,20.0,4.0,76250.0,17.37945771335353,1.5390964052398886,110569.53258759226,0.40962378366829333,0.4099065694529591,0.38774575710947184
667,32640,202104.0,0.0,0.0,0.0,17.431494146607292,1.581988317671403,111148.23733991571,,,
668,32641,202101.0,13.0,3.0,127700.0,17.260610932491545,3.1026323133653477,106746.97251162678,0.1984065116645566,0.3716618984890735,0.24996459976150753
669,32641,202102.0,18.0,6.0,66000.0,15.13140377701825,3.2073109967973323,92631.70119208097,0.1984065116645566,0.3716618984890735,0.24996459976150753
670,32641,202103.0,17.0,5.0,120000.0,14.587031307142297,3.0494622246965264,98143.56840078533,0.1984065116645566,0.3716618984890735,0.24996459976150753
671,32641,202104.0,0.0,0.0,0.0,14.60735327973498,3.077552001818276,102080.87675477564,,,
672,32643,202101.0,21.0,6.0,162500.0,21.81874993909628,5.199190735455204,184376.31874145567,0.11754209078720441,0.2383260252649616,0.23878492523485942
673,32643,202102.0,18.0,3.0,261000.0,20.246683340535014,4.48082912534278,185452.60098482668,0.11754209078720441,0.2383260252649616,0.23878492523485942
674,32643,202103.0,17.0,6.0,232990.0,20.25457296395348,4.519825060985113,191562.1236023605,0.11754209078720441,0.2383260252649616,0.23878492523485942
675,32643,202104.0,0.0,0.0,0.0,20.465194440967025,4.611992043955297,192923.90663196892,,,
676,32653,202101.0,18.0,2.0,196450.0,23.56034502806981,5.274727693379873,220388.80802227557,0.21460138301351409,0.6543427951941831,0.16847845534859696
677,32653,202102.0,23.0,2.0,260000.0,26.302304151487256,1.925798133411945,221992.17904037982,0.21460138301351409,0.6543427951941831,0.16847845534859696
678,32653,202103.0,19.0,1.0,269000.0,24.321001761334095,3.7256166910294723,216591.7804049328,0.21460138301351409,0.6543427951941831,0.16847845534859696
679,32653,202104.0,0.0,0.0,0.0,25.25314835066817,2.704921177237111,219940.1243218407,,,
680,32656,202101.0,16.0,3.0,169500.0,15.732083068249267,5.360748739949486,154353.76385907084,0.42628386963821435,1.1113490446092027,0.10710083372074486
681,32656,202102.0,20.0,0.0,134000.0,15.873050666890776,5.232979452231234,151459.12162917107,0.42628386963821435,1.1113490446092027,0.10710083372074486
682,32656,202103.0,33.0,8.0,167900.0,15.799680064446875,5.17623310194665,151437.142088525,0.42628386963821435,1.1113490446092027,0.10710083372074486
683,32656,202104.0,0.0,0.0,0.0,15.68671099009407,5.1717923597792606,151626.51340474188,,,
684,32666,202101.0,6.0,3.0,307500.0,8.568840756625832,1.0063595568987438,183343.16252997145,0.43533700880318255,0.5990657106160666,0.5814221520573497
685,32666,202102.0,17.0,0.0,175000.0,8.32070799593157,1.1387670730368527,158482.18901549838,0.43533700880318255,0.5990657106160666,0.5814221520573497
686,32666,202103.0,11.0,1.0,65010.0,8.882374508577868,1.3246607527131502,153390.9981656801,0.43533700880318255,0.5990657106160666,0.5814221520573497
687,32666,202104.0,0.0,0.0,0.0,9.05029982256292,1.3417199257682526,154234.89542737044,,,
688,32667,202103.0,2.0,0.0,130000.0,5.8184515703956095,0.023108168958259512,230938.4679939393,0.8210201149452319,0.02284521838682242,0.5746134901324744
689,32667,202104.0,0.0,0.0,0.0,6.398086543219961,0.35542298491648694,238504.7104674112,,,
690,32668,202101.0,8.0,3.0,157950.0,6.349834417529792,1.8453319842632254,201165.66505473852,0.6190357039100888,0.589954252514408,1.0907247172557681
691,32668,202102.0,2.0,0.0,126500.0,6.364795631097422,1.504533717529057,119989.96926786005,0.6190357039100888,0.589954252514408,1.0907247172557681
692,32668,202103.0,3.0,2.0,1150000.0,5.929914145405974,1.2405227542709554,176727.89320302755,0.6190357039100888,0.589954252514408,1.0907247172557681
693,32668,202104.0,0.0,0.0,0.0,5.850785472165853,1.3959291291022282,151965.2351746112,,,
694,32669,202101.0,26.0,13.0,226500.0,21.57581568489013,10.500897678930414,235227.93979223818,0.16516766582960274,0.32806270834319695,0.10471450529781076
695,32669,202102.0,27.0,10.0,255000.0,33.79400591333797,5.605602910349262,215229.79205672443,0.16516766582960274,0.32806270834319695,0.10471450529781076
696,32669,202103.0,26.0,11.0,220000.0,24.652314888132878,9.27335399318872,231770.24418088794,0.16516766582960274,0.32806270834319695,0.10471450529781076
697,32669,202104.0,0.0,0.0,0.0,31.510437141687817,6.617614345201218,219868.5110693574,,,
698,32680,202102.0,5.0,0.0,130000.0,9.532475496056577,1.3962200591706733,65333.52087901905,0.951156692403019,0.6473296848422174,0.5665456937085457
699,32680,202103.0,2.0,2.0,50000.0,9.17973370387017,1.2838880159525843,75384.95987112448,0.951156692403019,0.6473296848422174,0.5665456937085457
700,32680,202104.0,0.0,0.0,0.0,9.405097843994554,1.3914872315900766,79305.02180799842,,,
701,32686,202101.0,4.0,0.0,115000.0,6.735683762422582,0.6801826264220381,363184.88439539075,0.7928953809080438,0.5648076691284393,0.7046018321476885
