geoid,name,B11002001,"B11002001, Error",B11002002,"B11002002, Error",B11002003,"B11002003, Error",B11002004,"B11002004, Error",B11002005,"B11002005, Error",B11002006,"B11002006, Error",B11002007,"B11002007, Error",B11002008,"B11002008, Error",B11002009,"B11002009, Error",B11002010,"B11002010, Error",B11002011,"B11002011, Error",B11002012,"B11002012, Error"
86000US34109,"34109",24164,1410,19825,1539,15594,1275,15507,1273,87,116,1468,874,1430,850,38,62,2763,887,2644,837,119,111,4339,496
86000US34110,"34110",23661,1265,19280,1421,15890,1216,15664,1213,226,202,926,468,810,411,116,95,2464,776,2128,700,336,172,4381,485
86000US34112,"34112",25926,1328,20183,1342,14984,1140,14759,1131,225,164,1236,466,1192,440,44,39,3963,949,3525,805,438,304,5743,540
86000US34113,"34113",21885,1278,17849,1130,14363,1454,14175,1442,188,153,1047,895,917,749,130,155,2439,846,2288,785,151,141,4036,637
86000US34114,"34114",17883,1042,15124,1035,10697,847,10697,847,0,21,1278,737,1142,645,136,109,3149,754,2652,600,497,240,2759,355
86000US34116,"34116",36052,1829,32333,1986,19340,1803,18732,1798,608,337,3904,1216,3428,1060,476,245,9089,1539,8136,1394,953,406,3719,664
86000US34117,"34117",17031,1162,16258,1175,12079,1420,11695,1367,384,324,2089,1058,1987,1032,102,79,2090,935,1800,833,290,343,773,221
86000US34119,"34119",32827,1886,28364,2002,23231,1671,22995,1683,236,194,1452,836,1173,631,279,280,3681,1290,3243,965,438,591,4463,810
86000US34120,"34120",35498,2307,33180,2435,26198,2805,26064,2794,134,188,2621,1275,2215,1139,406,292,4361,1743,3932,1581,429,289,2318,692
86000US34134,"34134",14992,915,11807,952,10409,803,10323,805,86,82,720,406,695,396,25,25,678,358,678,358,0,21,3185,337
86000US34135,"34135",47322,921,39895,1144,31404,1978,31192,1943,212,175,3734,1372,3205,1147,529,360,4757,1667,4442,1572,315,249,7427,806
86000US34137,"34137",651,409,611,415,611,415,611,415,0,14,0,14,0,14,0,14,0,14,0,14,0,14,40,46
86000US34138,"34138",340,356,291,348,198,317,198,317,0,14,93,150,93,150,0,14,0,14,0,14,0,14,49,78
86000US34139,"34139",204,82,146,77,141,79,141,79,0,14,5,9,3,7,2,3,0,14,0,14,0,14,58,33
86000US34140,"34140",337,328,211,267,211,267,211,267,0,14,0,14,0,14,0,14,0,14,0,14,0,14,126,203
86000US34141,"34141",36,48,36,48,36,48,36,48,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US34142,"34142",29133,1728,25088,2065,12953,1768,12734,1723,219,149,3792,993,2830,709,962,386,8343,1340,7491,1167,852,340,4045,848
86000US34145,"34145",17829,33,14670,402,13449,567,13369,567,80,100,363,284,363,284,0,21,858,450,780,436,78,65,3159,402
86000US34201,"34201",3997,541,3314,580,2757,534,2757,534,0,14,62,96,62,96,0,14,495,306,473,292,22,34,683,201
86000US34202,"34202",24623,1023,21779,1056,19222,1024,19222,1024,0,25,854,480,713,398,141,93,1703,612,1632,580,71,113,2844,473
86000US34203,"34203",38851,2138,32229,2018,23236,1862,22646,1801,590,170,2110,951,1565,569,545,433,6883,1592,6557,1568,326,177,6622,850
86000US34205,"34205",31820,1129,24189,1411,14068,1257,13706,1183,362,252,3489,886,2920,737,569,250,6632,1022,6001,948,631,233,7631,696
86000US34207,"34207",36171,1947,28272,2015,15830,1595,15515,1560,315,200,4246,1048,3477,899,769,330,8196,1395,7022,1139,1174,490,7899,754
86000US34208,"34208",40544,1628,34870,1806,21267,1976,20665,1893,602,304,3147,882,2729,786,418,193,10456,1489,9911,1385,545,255,5674,904
86000US34209,"34209",34648,1243,27310,1260,20318,1313,20267,1318,51,41,1715,662,1494,580,221,171,5277,1050,4869,956,408,239,7338,648
86000US34210,"34210",16013,1009,11935,1016,8157,958,8118,949,39,46,971,548,873,498,98,71,2807,756,2597,682,210,104,4078,615
86000US34211,"34211",8898,1210,7772,1197,7278,1189,7278,1189,0,19,307,270,307,270,0,19,187,222,187,222,0,19,1126,418
86000US34212,"34212",21227,1192,19135,1252,14731,1533,14702,1524,29,47,1870,1021,1860,1020,10,17,2534,1093,2141,918,393,295,2092,543
86000US34215,"34215",567,222,490,206,413,215,413,215,0,14,0,14,0,14,0,14,77,113,62,90,15,23,77,92
86000US34216,"34216",719,174,566,155,494,135,494,135,0,14,0,14,0,14,0,14,72,78,72,78,0,14,153,59
86000US34217,"34217",5062,144,3661,303,3022,377,3012,377,10,13,245,251,181,181,64,79,394,181,325,136,69,70,1401,282
86000US34219,"34219",24514,1139,21958,1216,19708,1266,19655,1257,53,60,736,346,709,330,27,31,1514,486,1456,471,58,56,2556,571
86000US34221,"34221",44947,1674,38576,1754,25888,1678,25558,1688,330,184,3657,865,3279,784,378,200,9031,1710,8337,1514,694,340,6371,752
86000US34222,"34222",11650,1134,9503,1196,8089,1286,8045,1272,44,76,39,64,39,64,0,21,1375,516,1307,494,68,51,2147,452
86000US34223,"34223",18311,979,13611,1015,11666,875,11638,874,28,36,581,346,464,274,117,81,1364,478,1322,462,42,47,4700,422
86000US34224,"34224",16307,881,11977,1012,9636,985,9458,975,178,107,381,217,370,213,11,19,1960,717,1635,592,325,246,4330,614
86000US34228,"34228",7283,29,5945,190,5844,186,5775,187,69,66,0,19,0,19,0,19,101,76,101,76,0,19,1338,189
86000US34229,"34229",7674,669,6772,710,5906,726,5850,722,56,58,154,206,154,206,0,19,712,423,640,378,72,72,902,203
86000US34231,"34231",29910,1053,21130,1237,15181,1012,15023,969,158,134,1464,587,1283,488,181,124,4485,866,4104,811,381,146,8780,659
86000US34232,"34232",34904,1344,26892,1389,18699,1333,18476,1308,223,127,2850,680,2469,600,381,139,5343,700,4690,635,653,213,8012,838
86000US34233,"34233",17680,944,13373,920,10715,1041,10648,1030,67,62,639,309,546,257,93,76,2019,671,1842,613,177,113,4307,623
86000US34234,"34234",21154,1430,15600,1521,7724,970,7689,967,35,40,1377,589,1309,576,68,58,6499,1108,6207,1053,292,177,5554,534
86000US34235,"34235",15183,1166,11932,1230,8356,1081,8323,1086,33,41,1269,594,1129,488,140,153,2307,696,2142,648,165,127,3251,420
86000US34236,"34236",12370,663,7256,557,6043,569,5807,535,236,230,335,189,304,167,31,46,878,268,878,268,0,21,5114,477
86000US34237,"34237",16871,1004,12361,1095,7951,1100,7814,1077,137,142,753,389,694,348,59,52,3657,721,3303,593,354,243,4510,551
86000US34238,"34238",19849,846,15358,953,13100,873,13086,875,14,22,496,297,496,297,0,25,1762,584,1652,563,110,133,4491,446
86000US34239,"34239",15493,765,11204,787,8826,833,8727,798,99,78,810,326,737,303,73,56,1568,415,1483,392,85,69,4289,505
86000US34240,"34240",11442,999,10465,961,8922,909,8783,880,139,172,178,150,167,139,11,18,1365,589,1246,534,119,89,977,242
86000US34241,"34241",15568,968,13732,996,11841,917,11755,921,86,71,541,346,412,274,129,111,1350,488,1271,457,79,62,1836,314
86000US34242,"34242",7465,495,5758,488,5078,449,5052,453,26,35,341,237,271,181,70,71,339,214,325,207,14,22,1707,246
86000US34243,"34243",30965,1822,24106,1892,18790,1662,18593,1638,197,158,975,408,852,353,123,112,4341,1000,4201,977,140,101,6859,757
86000US34251,"34251",7034,1165,6558,1156,5716,1175,5533,1162,183,118,140,112,130,105,10,16,702,491,629,480,73,49,476,184
86000US34266,"34266",28766,840,24698,932,16303,1255,16072,1236,231,127,2384,732,2131,660,253,143,6011,939,5625,932,386,158,4068,618
86000US34268,"34268",157,154,157,154,80,110,80,110,0,14,0,14,0,14,0,14,77,114,77,114,0,14,0,14
86000US34269,"34269",4499,469,3540,466,2992,459,2951,443,41,32,86,73,86,73,0,14,462,250,448,243,14,25,959,247
86000US34275,"34275",20472,1112,16142,1177,12996,1161,12885,1170,111,140,1082,473,953,428,129,99,2064,827,1911,763,153,126,4330,510
86000US34285,"34285",18298,795,12684,949,10270,859,10147,876,123,85,608,265,575,241,33,54,1806,662,1770,655,36,39,5614,562
86000US34286,"34286",20178,1914,18283,2050,13391,1994,13391,1994,0,25,889,652,868,644,21,35,4003,1550,3825,1478,178,187,1895,690
86000US34287,"34287",28478,1521,23177,1556,15689,1224,15615,1218,74,72,1823,680,1577,585,246,180,5665,1003,4967,843,698,396,5301,824
86000US34288,"34288",11511,1460,9968,1673,8208,1697,8208,1697,0,21,556,479,345,268,211,229,1204,918,1169,909,35,67,1543,607
