geoid,name,B13016001,"B13016001, Error",B13016002,"B13016002, Error",B13016003,"B13016003, Error",B13016004,"B13016004, Error",B13016005,"B13016005, Error",B13016006,"B13016006, Error",B13016007,"B13016007, Error",B13016008,"B13016008, Error",B13016009,"B13016009, Error",B13016010,"B13016010, Error",B13016011,"B13016011, Error",B13016012,"B13016012, Error",B13016013,"B13016013, Error",B13016014,"B13016014, Error",B13016015,"B13016015, Error",B13016016,"B13016016, Error",B13016017,"B13016017, Error"
86000US33563,"33563",6945,545,405,152,54,62,47,52,84,75,124,86,27,29,0,25,69,79,6540,560,955,264,554,179,884,244,1056,272,1004,233,956,254,1131,253
86000US33565,"33565",3529,365,164,84,0,21,8,14,144,82,12,9,0,21,0,21,0,21,3365,364,589,219,301,104,381,121,478,113,468,122,552,133,596,130
86000US33566,"33566",5032,482,240,114,12,18,49,49,40,47,89,75,14,22,36,44,0,25,4792,492,780,195,575,198,678,220,551,190,678,200,641,138,889,195
86000US33567,"33567",2897,349,195,81,0,21,14,22,45,35,105,69,31,33,0,21,0,21,2702,351,340,122,277,124,276,122,492,175,450,126,378,116,489,126
86000US33569,"33569",6590,684,322,153,0,25,69,62,120,110,96,72,14,26,4,9,19,32,6268,688,937,331,672,205,697,240,885,237,716,212,1110,267,1251,248
86000US33570,"33570",6915,572,498,177,0,25,40,51,138,77,176,103,144,102,0,25,0,25,6417,609,963,256,687,204,793,212,977,238,908,221,849,192,1240,257
86000US33572,"33572",4293,341,166,71,0,25,31,38,19,22,47,28,33,31,36,34,0,25,4127,344,456,154,327,109,395,171,378,141,663,164,825,205,1083,202
86000US33573,"33573",1543,273,100,73,0,25,12,18,18,20,0,25,49,58,21,30,0,25,1443,266,106,75,105,81,140,90,264,77,321,111,164,82,343,156
86000US33576,"33576",499,113,13,11,0,14,0,14,3,5,10,10,0,14,0,14,0,14,486,113,53,46,53,39,72,47,51,28,39,31,75,41,143,71
86000US33578,"33578",15071,890,869,293,14,22,134,92,398,194,179,114,135,97,9,14,0,32,14202,889,1350,296,1692,316,2139,364,2801,417,2124,388,2045,320,2051,340
86000US33579,"33579",9775,644,418,153,47,43,0,29,202,107,90,64,53,53,26,42,0,29,9357,660,1023,245,674,201,1089,264,1349,327,1894,388,1572,299,1756,303
86000US33584,"33584",6334,526,263,106,0,25,0,25,87,63,118,73,53,45,5,15,0,25,6071,532,724,206,715,196,867,212,849,232,750,204,958,207,1208,299
86000US33585,"33585",245,91,41,48,0,14,0,14,0,14,8,12,0,14,0,14,33,52,204,85,40,29,0,14,4,9,27,41,51,49,10,17,72,58
86000US33592,"33592",2466,392,51,36,9,15,0,21,21,25,21,35,0,21,0,21,0,21,2415,387,306,114,419,164,270,100,272,101,343,132,336,132,469,128
86000US33594,"33594",8392,620,293,151,0,29,16,21,33,54,56,48,127,114,38,48,23,38,8099,652,1204,296,595,181,920,314,1202,336,1099,232,1307,287,1772,234
86000US33596,"33596",6929,498,120,65,0,29,0,29,0,29,66,48,40,37,14,18,0,29,6809,492,1016,220,816,210,794,223,666,196,1210,225,1035,187,1272,191
86000US33597,"33597",1711,326,98,83,0,19,5,9,69,78,10,17,0,19,14,22,0,19,1613,306,303,124,280,125,115,74,162,87,231,96,183,110,339,141
86000US33598,"33598",4573,355,195,105,24,34,45,52,92,80,8,16,26,36,0,25,0,25,4378,375,506,136,523,151,837,231,685,154,601,148,639,177,587,138
86000US33602,"33602",4226,398,96,69,0,21,36,43,36,40,16,19,8,13,0,21,0,21,4130,396,181,95,350,101,1007,222,751,152,676,192,603,245,562,144
86000US33603,"33603",5809,449,217,100,0,25,37,29,56,55,48,36,50,62,18,28,8,14,5592,436,420,114,744,246,1065,245,1170,230,731,155,721,163,741,154
86000US33604,"33604",10363,654,426,130,7,10,111,66,125,78,88,63,95,61,0,29,0,29,9937,659,944,248,1276,237,1566,300,1721,303,1455,261,1264,252,1711,277
86000US33605,"33605",4422,363,188,81,20,21,68,65,54,36,6,9,8,13,32,49,0,21,4234,353,482,135,509,132,880,177,755,149,655,153,430,106,523,114
86000US33606,"33606",7168,551,119,72,6,12,0,25,41,67,64,57,8,13,0,25,0,25,7049,542,1971,246,1473,307,1207,272,824,193,413,150,440,153,721,188
86000US33607,"33607",6868,605,244,110,0,25,56,58,89,79,61,62,26,32,12,20,0,25,6624,592,546,232,607,191,1509,315,816,214,1268,262,973,346,905,246
86000US33609,"33609",4526,635,132,80,0,21,3,9,24,27,66,53,39,38,0,21,0,21,4394,632,448,167,639,247,746,285,711,175,443,152,616,159,791,191
